giornata,squadra,avversario,fantapunti,gol_fatti,gol_subiti
3,squadra-04,squadra-10,81,4,0
3,squadra-12,squadra-13,80,4,3
3,squadra-01,squadra-05,82,5,5
3,squadra-14,squadra-11,80,4,2
3,squadra-10,squadra-04,62.5,0,4
3,squadra-11,squadra-14,73,2,4
3,squadra-13,squadra-12,75,3,4
3,squadra-06,squadra-07,74,3,1
3,squadra-05,squadra-01,84.5,5,5
3,squadra-07,squadra-06,68.5,1,3
3,squadra-02,squadra-08,74,3,0
3,squadra-09,squadra-03,85.5,5,0
3,squadra-08,squadra-02,64,0,3
3,squadra-03,squadra-09,63.5,0,5
